Sexo;Nacionalidad;Edad;Número de delitos;Periodo;Total
Total;Total;Total ;Total;2021;282.210
Total;Total;Total ;Total;2020;221.437
Total;Total;Total ;Total;2019;286.931
Total;Total;Total ;Total;2018;286.637
Total;Total;Total ;Total;2017;285.336
Total;Total;Total ;Total;2016;271.526
Total;Total;Total ;Total;2015;222.862
Total;Total;Total ;Total;2014;218.827
Total;Total;Total ;Total;2013;219.776
Total;Total;Total ;Condenados con un delito;2021;210.537
Total;Total;Total ;Condenados con un delito;2020;168.969
Total;Total;Total ;Condenados con un delito;2019;217.637
Total;Total;Total ;Condenados con un delito;2018;220.284
Total;Total;Total ;Condenados con un delito;2017;222.082
Total;Total;Total ;Condenados con un delito;2016;214.760
Total;Total;Total ;Condenados con un delito;2015;179.027
Total;Total;Total ;Condenados con un delito;2014;178.436
Total;Total;Total ;Condenados con un delito;2013;181.435
Total;Total;Total ;Condenados con dos delitos;2021;45.367
Total;Total;Total ;Condenados con dos delitos;2020;34.346
Total;Total;Total ;Condenados con dos delitos;2019;44.393
Total;Total;Total ;Condenados con dos delitos;2018;42.734
Total;Total;Total ;Condenados con dos delitos;2017;41.356
Total;Total;Total ;Condenados con dos delitos;2016;38.148
Total;Total;Total ;Condenados con dos delitos;2015;31.312
Total;Total;Total ;Condenados con dos delitos;2014;29.278
Total;Total;Total ;Condenados con dos delitos;2013;28.128
Total;Total;Total ;Condenados con tres delitos;2021;14.174
Total;Total;Total ;Condenados con tres delitos;2020;10.044
Total;Total;Total ;Condenados con tres delitos;2019;13.219
Total;Total;Total ;Condenados con tres delitos;2018;12.706
Total;Total;Total ;Condenados con tres delitos;2017;12.045
Total;Total;Total ;Condenados con tres delitos;2016;10.585
Total;Total;Total ;Condenados con tres delitos;2015;7.734
Total;Total;Total ;Condenados con tres delitos;2014;7.053
Total;Total;Total ;Condenados con tres delitos;2013;6.515
Total;Total;Total ;Condenados con cuatro o más delitos;2021;12.132
Total;Total;Total ;Condenados con cuatro o más delitos;2020;8.078
Total;Total;Total ;Condenados con cuatro o más delitos;2019;11.682
Total;Total;Total ;Condenados con cuatro o más delitos;2018;10.913
Total;Total;Total ;Condenados con cuatro o más delitos;2017;9.853
Total;Total;Total ;Condenados con cuatro o más delitos;2016;8.033
Total;Total;Total ;Condenados con cuatro o más delitos;2015;4.789
Total;Total;Total ;Condenados con cuatro o más delitos;2014;4.060
Total;Total;Total ;Condenados con cuatro o más delitos;2013;3.698
Total;Total;De 18 a 20 años;Total;2021;23.060
Total;Total;De 18 a 20 años;Total;2020;18.155
Total;Total;De 18 a 20 años;Total;2019;23.937
Total;Total;De 18 a 20 años;Total;2018;24.683
Total;Total;De 18 a 20 años;Total;2017;25.485
Total;Total;De 18 a 20 años;Total;2016;23.945
Total;Total;De 18 a 20 años;Total;2015;19.244
Total;Total;De 18 a 20 años;Total;2014;18.543
Total;Total;De 18 a 20 años;Total;2013;18.508
Total;Total;De 18 a 20 años;Condenados con un delito;2021;16.869
Total;Total;De 18 a 20 años;Condenados con un delito;2020;13.702
Total;Total;De 18 a 20 años;Condenados con un delito;2019;18.229
Total;Total;De 18 a 20 años;Condenados con un delito;2018;18.913
Total;Total;De 18 a 20 años;Condenados con un delito;2017;20.011
Total;Total;De 18 a 20 años;Condenados con un delito;2016;19.032
Total;Total;De 18 a 20 años;Condenados con un delito;2015;15.538
Total;Total;De 18 a 20 años;Condenados con un delito;2014;15.199
Total;Total;De 18 a 20 años;Condenados con un delito;2013;15.784
Total;Total;De 18 a 20 años;Condenados con dos delitos;2021;3.700
Total;Total;De 18 a 20 años;Condenados con dos delitos;2020;2.829
Total;Total;De 18 a 20 años;Condenados con dos delitos;2019;3.613
Total;Total;De 18 a 20 años;Condenados con dos delitos;2018;3.520
Total;Total;De 18 a 20 años;Condenados con dos delitos;2017;3.423
Total;Total;De 18 a 20 años;Condenados con dos delitos;2016;3.218
Total;Total;De 18 a 20 años;Condenados con dos delitos;2015;2.621
Total;Total;De 18 a 20 años;Condenados con dos delitos;2014;2.338
Total;Total;De 18 a 20 años;Condenados con dos delitos;2013;2.019
Total;Total;De 18 a 20 años;Condenados con tres delitos;2021;1.299
Total;Total;De 18 a 20 años;Condenados con tres delitos;2020;874
Total;Total;De 18 a 20 años;Condenados con tres delitos;2019;1.112
Total;Total;De 18 a 20 años;Condenados con tres delitos;2018;1.143
Total;Total;De 18 a 20 años;Condenados con tres delitos;2017;1.066
Total;Total;De 18 a 20 años;Condenados con tres delitos;2016;916
Total;Total;De 18 a 20 años;Condenados con tres delitos;2015;656
Total;Total;De 18 a 20 años;Condenados con tres delitos;2014;611
Total;Total;De 18 a 20 años;Condenados con tres delitos;2013;451
Total;Total;De 18 a 20 años;Condenados con cuatro o más delitos;2021;1.192
Total;Total;De 18 a 20 años;Condenados con cuatro o más delitos;2020;750
Total;Total;De 18 a 20 años;Condenados con cuatro o más delitos;2019;983
Total;Total;De 18 a 20 años;Condenados con cuatro o más delitos;2018;1.107
Total;Total;De 18 a 20 años;Condenados con cuatro o más delitos;2017;985
Total;Total;De 18 a 20 años;Condenados con cuatro o más delitos;2016;779
Total;Total;De 18 a 20 años;Condenados con cuatro o más delitos;2015;429
Total;Total;De 18 a 20 años;Condenados con cuatro o más delitos;2014;395
Total;Total;De 18 a 20 años;Condenados con cuatro o más delitos;2013;254
Total;Total;De 21 a 25 años;Total;2021;37.133
Total;Total;De 21 a 25 años;Total;2020;29.313
Total;Total;De 21 a 25 años;Total;2019;39.262
Total;Total;De 21 a 25 años;Total;2018;40.274
Total;Total;De 21 a 25 años;Total;2017;40.823
Total;Total;De 21 a 25 años;Total;2016;39.862
Total;Total;De 21 a 25 años;Total;2015;33.504
Total;Total;De 21 a 25 años;Total;2014;33.619
