Tipo de Delito: Nivel 1;Tipo de Delito: Nivel 2;Tipo de Delito: Nivel 3;Periodo;Total
A Delitos;;;2021;410.842
A Delitos;;;2020;311.271
A Delitos;;;2019;412.571
A Delitos;;;2018;406.327
A Delitos;;;2017;394.301
A Delitos;;;2016;365.202
A Delitos;;;2015;288.756
A Delitos;;;2014;277.956
A Delitos;;;2013;275.196
A Delitos;1 Homicidio y sus formas;;2021;1.145
A Delitos;1 Homicidio y sus formas;;2020;1.036
A Delitos;1 Homicidio y sus formas;;2019;1.099
A Delitos;1 Homicidio y sus formas;;2018;1.087
A Delitos;1 Homicidio y sus formas;;2017;1.158
A Delitos;1 Homicidio y sus formas;;2016;1.252
A Delitos;1 Homicidio y sus formas;;2015;1.355
A Delitos;1 Homicidio y sus formas;;2014;1.295
A Delitos;1 Homicidio y sus formas;;2013;1.427
A Delitos;2 Aborto;;2021;9
A Delitos;2 Aborto;;2020;11
A Delitos;2 Aborto;;2019;12
A Delitos;2 Aborto;;2018;6
A Delitos;2 Aborto;;2017;12
A Delitos;2 Aborto;;2016;17
A Delitos;2 Aborto;;2015;7
A Delitos;2 Aborto;;2014;13
A Delitos;2 Aborto;;2013;12
A Delitos;3 Lesiones;;2021;70.678
A Delitos;3 Lesiones;;2020;53.105
A Delitos;3 Lesiones;;2019;69.437
A Delitos;3 Lesiones;;2018;67.472
A Delitos;3 Lesiones;;2017;65.519
A Delitos;3 Lesiones;;2016;55.272
A Delitos;3 Lesiones;;2015;37.082
A Delitos;3 Lesiones;;2014;34.136
A Delitos;3 Lesiones;;2013;33.767
A Delitos;4 Lesiones al feto;;2021;41
A Delitos;4 Lesiones al feto;;2020;20
A Delitos;4 Lesiones al feto;;2019;26
A Delitos;4 Lesiones al feto;;2018;30
A Delitos;4 Lesiones al feto;;2017;32
A Delitos;4 Lesiones al feto;;2016;33
A Delitos;4 Lesiones al feto;;2015;34
A Delitos;4 Lesiones al feto;;2014;53
A Delitos;4 Lesiones al feto;;2013;47
A Delitos;5 Manipulación genética;;2021;4
A Delitos;5 Manipulación genética;;2020;4
A Delitos;5 Manipulación genética;;2019;4
A Delitos;5 Manipulación genética;;2018;4
A Delitos;5 Manipulación genética;;2017;""
A Delitos;5 Manipulación genética;;2016;4
A Delitos;5 Manipulación genética;;2015;2
A Delitos;5 Manipulación genética;;2014;1
A Delitos;5 Manipulación genética;;2013;3
A Delitos;6 Contra la libertad;;2021;31.251
A Delitos;6 Contra la libertad;;2020;22.369
A Delitos;6 Contra la libertad;;2019;27.828
A Delitos;6 Contra la libertad;;2018;27.003
A Delitos;6 Contra la libertad;;2017;25.783
A Delitos;6 Contra la libertad;;2016;21.635
A Delitos;6 Contra la libertad;;2015;12.821
A Delitos;6 Contra la libertad;;2014;10.947
A Delitos;6 Contra la libertad;;2013;10.785
A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;2021;201
A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;2020;217
A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;2019;220
A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;2018;194
A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;2017;266
A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;2016;298
A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;2015;304
A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;2014;273
A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;2013;302
A Delitos;6 Contra la libertad;6.2 Amenazas;2021;25.132
A Delitos;6 Contra la libertad;6.2 Amenazas;2020;17.983
A Delitos;6 Contra la libertad;6.2 Amenazas;2019;22.398
A Delitos;6 Contra la libertad;6.2 Amenazas;2018;21.986
A Delitos;6 Contra la libertad;6.2 Amenazas;2017;21.149
A Delitos;6 Contra la libertad;6.2 Amenazas;2016;17.827
A Delitos;6 Contra la libertad;6.2 Amenazas;2015;10.427
A Delitos;6 Contra la libertad;6.2 Amenazas;2014;8.947
A Delitos;6 Contra la libertad;6.2 Amenazas;2013;8.802
A Delitos;6 Contra la libertad;6.3 Coacciones;2021;5.918
A Delitos;6 Contra la libertad;6.3 Coacciones;2020;4.169
A Delitos;6 Contra la libertad;6.3 Coacciones;2019;5.210
A Delitos;6 Contra la libertad;6.3 Coacciones;2018;4.823
A Delitos;6 Contra la libertad;6.3 Coacciones;2017;4.368
A Delitos;6 Contra la libertad;6.3 Coacciones;2016;3.510
A Delitos;6 Contra la libertad;6.3 Coacciones;2015;2.090
A Delitos;6 Contra la libertad;6.3 Coacciones;2014;1.727
A Delitos;6 Contra la libertad;6.3 Coacciones;2013;1.681
A Delitos;7 Torturas e integridad moral;;2021;9.700
A Delitos;7 Torturas e integridad moral;;2020;7.078
A Delitos;7 Torturas e integridad moral;;2019;8.102
A Delitos;7 Torturas e integridad moral;;2018;7.819
A Delitos;7 Torturas e integridad moral;;2017;7.198
A Delitos;7 Torturas e integridad moral;;2016;6.247
A Delitos;7 Torturas e integridad moral;;2015;3.995
A Delitos;7 Torturas e integridad moral;;2014;2.545
A Delitos;7 Torturas e integridad moral;;2013;2.771
A Delitos;7 BIS Trata de seres humanos;;2021;226
A Delitos;7 BIS Trata de seres humanos;;2020;94
A Delitos;7 BIS Trata de seres humanos;;2019;197
A Delitos;7 BIS Trata de seres humanos;;2018;54
A Delitos;7 BIS Trata de seres humanos;;2017;63
A Delitos;7 BIS Trata de seres humanos;;2016;123
A Delitos;7 BIS Trata de seres humanos;;2015;103
A Delitos;7 BIS Trata de seres humanos;;2014;30
A Delitos;7 BIS Trata de seres humanos;;2013;39
A Delitos;8 Contra la libertad e indemnidad sexuales;;2021;3.881
A Delitos;8 Contra la libertad e indemnidad sexuales;;2020;2.885
A Delitos;8 Contra la libertad e indemnidad sexuales;;2019;3.296
A Delitos;8 Contra la libertad e indemnidad sexuales;;2018;2.917
A Delitos;8 Contra la libertad e indemnidad sexuales;;2017;2.764
A Delitos;8 Contra la libertad e indemnidad sexuales;;2016;2.721
A Delitos;8 Contra la libertad e indemnidad sexuales;;2015;2.515
A Delitos;8 Contra la libertad e indemnidad sexuales;;2014;2.492
A Delitos;8 Contra la libertad e indemnidad sexuales;;2013;2.628
A Delitos;8 Contra la libertad e indemnidad sexuales;8.1 Agresiones sexuales;2021;491
A Delitos;8 Contra la libertad e indemnidad sexuales;8.1 Agresiones sexuales;2020;428
A Delitos;8 Contra la libertad e indemnidad sexuales;8.1 Agresiones sexuales;2019;428
A Delitos;8 Contra la libertad e indemnidad sexuales;8.1 Agresiones sexuales;2018;386
A Delitos;8 Contra la libertad e indemnidad sexuales;8.1 Agresiones sexuales;2017;387
A Delitos;8 Contra la libertad e indemnidad sexuales;8.1 Agresiones sexuales;2016;430
A Delitos;8 Contra la libertad e indemnidad sexuales;8.1 Agresiones sexuales;2015;489
A Delitos;8 Contra la libertad e indemnidad sexuales;8.1 Agresiones sexuales;2014;528
A Delitos;8 Contra la libertad e indemnidad sexuales;8.1 Agresiones sexuales;2013;605
A Delitos;8 Contra la libertad e indemnidad sexuales;8.2 Abusos sexuales;2021;1.556
A Delitos;8 Contra la libertad e indemnidad sexuales;8.2 Abusos sexuales;2020;1.070
A Delitos;8 Contra la libertad e indemnidad sexuales;8.2 Abusos sexuales;2019;1.218
A Delitos;8 Contra la libertad e indemnidad sexuales;8.2 Abusos sexuales;2018;1.011
A Delitos;8 Contra la libertad e indemnidad sexuales;8.2 Abusos sexuales;2017;956
A Delitos;8 Contra la libertad e indemnidad sexuales;8.2 Abusos sexuales;2016;969
A Delitos;8 Contra la libertad e indemnidad sexuales;8.2 Abusos sexuales;2015;740
A Delitos;8 Contra la libertad e indemnidad sexuales;8.2 Abusos sexuales;2014;837
A Delitos;8 Contra la libertad e indemnidad sexuales;8.2 Abusos sexuales;2013;838
A Delitos;8 Contra la libertad e indemnidad sexuales;8.2 BIS Abusos y agresiones sexuales a menores de 16 años;2021;738
